,vote_average,revenue
83,0.0,0
383,2.0,0
222,2.5,0
65,2.8,2409225
55,3.0,0
100,3.3,0
392,3.4,0
36,3.5,0
425,3.7,2570145
135,3.8,209935
74,3.9,2042530
171,4.0,17014653
70,4.1,11534477
439,4.2,0
125,4.3,0
64,4.4,0
63,4.5,0
197,4.6,5780000
214,4.7,0
251,4.8,0
190,4.9,20350754
143,5.0,0
73,5.1,19030691
53,5.2,0
101,5.3,0
7,5.4,0
8,5.5,64350171
96,5.6,0
4,5.7,76578911
60,5.8,0
48,5.9,0
22,6.0,30303072
3,6.1,81452156
6,6.2,0
23,6.3,0
20,6.4,115101622
2,6.5,0
9,6.6,352194034
39,6.7,676525
32,6.8,0
1,6.9,262797249
25,7.0,0
12,7.1,11348324
16,7.2,135000000
35,7.3,39363635
27,7.4,0
79,7.5,0
28,7.6,1738611
0,7.7,373554033
15,7.8,116112375
95,7.9,0
359,8.0,788241776
46,8.1,327311859
289,8.2,45284974
292,8.3,213928762
314,8.5,28341469
186,10.0,0
